,link,address,price,super_area,bedrooms,bathroom,balcony,additional_rooms,age_possession,floor,furnishing_type,facing,num_parking,features
1220,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-gurgaon-21-sector-83-gurgaon-1980-sq-ft-spid-T81336207,"Vatika Gurgaon 21
Sector 83, Gurgaon",2 Cr,1980.0,3 Bedrooms,3 Bathrooms,3 Balconies,"Store Room,Servant Room",5 to 10 Year Old,10th   of 18 Floors,Unfurnished,North-East,"1 Covered, 1 Open","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
1221,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-independent-floors-sector-82-gurgaon-1500-sq-ft-spid-L78171367,"Vatika Independent Floors
Sector 82, Gurgaon",1.7 Cr,2130.0,3 Bedrooms,3 Bathrooms,2 Balconies,,5 to 10 Year Old,1st   of 2 Floors,Semifurnished,North-West,1 Open,"['Intercom Facility', 'High Ceiling Height', 'Maintenance Staff', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
1222,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-seven-elements-sector-89-a-gurgaon-1950-sq-ft-spid-C81003757,"Vatika Seven Elements
Sector 89 A, Gurgaon",1.95 Cr,1950.0,3 Bedrooms,3 Bathrooms,2 Balconies,Pooja Room,Within 6 months,3rd   of 7 Floors,Unfurnished,,1 Covered,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
1223,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-seven-elements-sector-89-a-gurgaon-1960-sq-ft-spid-M79666327,"Vatika Seven Elements
Sector 89 A, Gurgaon",1.85 Cr,1960.0,3 Bedrooms,3 Bathrooms,3 Balconies,Study Room,0 to 1 Year Old,Ground of 7 Floors,Semifurnished,North,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
1224,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-seven-elements-sector-89-a-gurgaon-2085-sq-ft-spid-A79338381,"Vatika Seven Elements
Sector 89 A, Gurgaon",1.99 Cr,2085.0,3 Bedrooms,2 Bathrooms,3 Balconies,Servant Room,0 to 1 Year Old,7th   of 21 Floors,Semifurnished,East,1 Covered,"['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
1225,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-the-seven-lamps-sector-82-gurgaon-1877-sq-ft-spid-N81334187,"Vatika The Seven Lamps
Sector 82, Gurgaon",2.05 Cr,1877.0,3 Bedrooms,3 Bathrooms,3 Balconies,"Study Room,Store Room",5 to 10 Year Old,14th   of 16 Floors,Unfurnished,North-West,"1 Covered, 1 Open","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
1226,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-the-seven-lamps-sector-82-gurgaon-2160-sq-ft-spid-O81334545,"Vatika The Seven Lamps
Sector 82, Gurgaon",2.32 Cr,2160.0,3 Bedrooms,3 Bathrooms,3+ Balconies,"Study Room,Servant Room",5 to 10 Year Old,14th   of 16 Floors,Unfurnished,North-West,"1 Covered, 1 Open","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
1228,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vipul-lavanya-sector-81-gurgaon-1530-sq-ft-spid-E79628671,"Vipul Lavanya
Sector 81, Gurgaon",1.42 Cr,1530.0,3 Bedrooms,3 Bathrooms,3 Balconies,,5 to 10 Year Old,4th   of 14 Floors,Semifurnished,North-East,1 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']"
1229,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vipul-lavanya-sector-81-gurgaon-1780-sq-ft-spid-B79629151,"Vipul Lavanya
Sector 81, Gurgaon",1.55 Cr,1780.0,3 Bedrooms,4 Bathrooms,3 Balconies,Servant Room,5 to 10 Year Old,10th   of 14 Floors,Semifurnished,South-West,1 Covered,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']"
1230,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-adani-m2k-oyster-grande-sector-102-gurgaon-3198-sq-ft-r1-spid-P78545887,"Adani M2K Oyster Grande
Sector 102, Gurgaon",3.55 Cr,3198.0,4 Bedrooms,5 Bathrooms,3+ Balconies,"Pooja Room,Servant Room",1 to 5 Year Old,6th   of 24 Floors,Semifurnished,West,2 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
1231,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-aipl-the-peaceful-homes-sector-70a-gurgaon-2925-sq-ft-spid-F78568825,"AIPL The Peaceful Homes
Sector 70A, Gurgaon",4.6 Cr,2925.0,4 Bedrooms,5 Bathrooms,3 Balconies,"Servant Room,Study Room",1 to 5 Year Old,21st   of 30 Floors,Semifurnished,North-East,2 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
1233,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ansal-sushant-shopping-arcade-b-block-sushant-lok-phase-1-gurgaon-2700-sq-ft-spid-U80774385,"Ansal Sushant Shopping Arcade
B Block Sushant Lok Phase 1, Gurgaon",4.8 Cr,426.0,4 Bedrooms,4 Bathrooms,3 Balconies,,0 to 1 Year Old,4th   of 4 Floors,Semifurnished,,1 Covered,"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff']"
1235,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ats-tourmaline-sector-109-gurgaon-3150-sq-ft-spid-P79031753,"ATS Tourmaline
Sector 109, Gurgaon",3.6 Cr,3150.0,4 Bedrooms,5 Bathrooms,3+ Balconies,"Servant Room,Study Room",1 to 5 Year Old,12nd   of 27 Floors,Semifurnished,North-East,1 Covered,"['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
1237,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-3150-sq-ft-spid-B77388949,"ATS Triumph
Sector 104, Gurgaon",3.8 Cr,3150.0,4 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,6th   of 27 Floors,Semifurnished,East,2 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
1238,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-3150-sq-ft-spid-G79631311,"ATS Triumph
Sector 104, Gurgaon",3.8 Cr,3150.0,4 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,12nd   of 27 Floors,Semifurnished,North-East,"2 Covered, 1 Open","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
1239,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-3150-sq-ft-spid-P79653487,"ATS Triumph
Sector 104, Gurgaon",3.82 Cr,3150.0,4 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,18th   of 27 Floors,Semifurnished,North-East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
1242,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-3150-sq-ft-spid-Y80343181,"ATS Triumph
Sector 104, Gurgaon",3.7 Cr,3150.0,4 Bedrooms,4 Bathrooms,3+ Balconies,Servant Room,1 to 5 Year Old,23rd   of 27 Floors,Semifurnished,North-East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
1243,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-3150-sq-ft-spid-Y80868079,"ATS Triumph
Sector 104, Gurgaon",3.9 Cr,3150.0,4 Bedrooms,4 Bathrooms,3+ Balconies,"Servant Room,Pooja Room",1 to 5 Year Old,11st   of 27 Floors,Semifurnished,North-West,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
1244,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-3150-sq-ft-spid-Z79112199,"ATS Triumph
Sector 104, Gurgaon",4 Cr,3150.0,4 Bedrooms,4 Bathrooms,3+ Balconies,"Servant Room,Pooja Room",1 to 5 Year Old,4th   of 27 Floors,Semifurnished,North-East,2 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
1245,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-city-sector-48-gurgaon-3499-sq-ft-spid-M79460499,"Bestech Park View City
Sector 48, Gurgaon",4.9 Cr,3499.0,4 Bedrooms,5 Bathrooms,3+ Balconies,"Servant Room,Store Room",1 to 5 Year Old,14th   of 14 Floors,Semifurnished,North-East,2 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
1247,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-sanskruti-sector-92-gurgaon-2475-sq-ft-spid-W79437575,"Bestech Park View Sanskruti
Sector 92, Gurgaon",3.1 Cr,2475.0,4 Bedrooms,5 Bathrooms,3+ Balconies,"Servant Room,Pooja Room,Study Room,Others",1 to 5 Year Old,16th   of 20 Floors,Semifurnished,North-East,2 Covered,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
1248,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-bestech-park-view-spa-next-sector-67-gurgaon-2685-sq-ft-spid-B81280179,"Bestech Park View Spa Next
Sector 67, Gurgaon",4.2 Cr,2685.0,4 Bedrooms,5 Bathrooms,3+ Balconies,Servant Room,5 to 10 Year Old,12nd   of 14 Floors,Semifurnished,North-East,"1 Covered, 1 Open","['Security / Fire Alarm', 'Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Natural Light', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
1252,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-garden-city-floors-sector-92-gurgaon-2300-sq-ft-r1-spid-Y78156461,"DLF Garden City Floors
Sector 92, Gurgaon",2.75 Cr,2300.0,4 Bedrooms,4 Bathrooms,2 Balconies,Servant Room,1 to 5 Year Old,2nd   of 4 Floors,Semifurnished,North-East,2 Covered,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
1253,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-2356-sq-ft-r10-spid-T44144671,"DLF New Town Heights 2
Sector 86, Gurgaon",2.39 Cr,2356.0,4 Bedrooms,4 Bathrooms,3+ Balconies,"Pooja Room,Servant Room",1 to 5 Year Old,21st   of 22 Floors,Unfurnished,North-East,2 Covered,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']"
